nome;jogo03;jogo09;jogo07;jogo10;jogo08;jogo01;jogo04;jogo06;jogo11;jogo02;jogo05;jogo12
gu.lg|;Pé de moga;Arroz carreteiro;0;Pastel (de carne ou de queijo);0;0;Caldo de cana;Bolo de milho;Caldo verde;Curau de milho;Quentéo de vinho;Milho cozido
monsimili;0;0;0;0;0;0;0;0;Caldo de feijéo;0;0;Milho cozido
naiaramarttins;Cocada morena;0;0;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;Chocolate quente;0;Caldo de feijéo;Canjica de amendoim;Camel;Milho cozido
felipedalosto;0;0;Pagoca;Pastel (de carne ou de queijo);0;Pamonha doce;Chocolate quente;Bolo de tapioca;Caldo verde;0;Quentéo de vinho;Milho cozido
gabicsampaio;0;Galinhada;Doce de leite;Cachorro quente;Espetinho de chocolate;0;0;0;Caldo canjiquinha;0;0;Milho cozido
(’3‘;0;Galinhada;Doce de leite;0;Espetinho de chocolate;0;0;0;Caldo canjiquinha;0;0;Milho cozido
alanfls‘lO;0;0;0;0;0;0;0;0;0;0;0;Pamonha de sal
Iebulin.oﬁcia|;Cocada morena;Arroz carreteiro;Doce de leite;Salsichéo;Espetinho de chocolate;Bolo de fubé;Chocolate quente;Bolo de milho;Caldo vaca atolada;Canjica de amendoim;0;Pamonha de sal
raphabraccialli;Pé de moleque;0;Amendoim doce;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de mandioca;0;Bolo de tapioca;Caldo de feijéo;Canjica de amendoim;Choconhaque;Pamonha de sal
bingotestee;Pé de moga;Arroz carreteiro;Amendoim doce;0;Magé do amor;Pamonha doce;0;Quebra-queixo;Caldo vaca atolada;Canjica de amendoim;Quentéo de cachaga;Pamonha de sal
baruscoph;0;Espetinho;Doce de leite;Buraco quente;Espetinho de chocolate;0;0;Quebra-queixo;Caldo verde;0;0;Pamonha de sal
ﬂ);0;Espetinho;Doce de leite;Buraco quente;Espetinho de chocolate;0;0;Quebra-queixo;Caldo verde;0;0;Pamonha de sal
vrafhaell;0;Espetinho;0;Salsichéo;0;0;0;Bolo de milho;Caldo de feijéo;0;0;Pamonha de sal
caioamoreira;Cocada branca;0;Pagoca;Pastel (de carne ou de queijo);Magé do amor;Pamonha doce;0;0;Caldo verde;Canjica de coco;0;Pamonha de sal
mnetoguerra;Cocada branca;0;Amendoim doce;0;Algodéo doce;Bolo de mandioca;Chocolate quente;Bolo de milho;Caldo de feijéo;Canjica de amendoim;Camel;Pamonha de sal
|ucasmartinsgsZ3;0;0;Doce de leite;Pastel (de carne ou de queijo);0;0;0;0;Caldo verde;0;0;Pamonha de sal
thamyreseshebellydance;0;0;Doce de leite;Cachorro quente;Espetinho de chocolate;0;0;Bolo de milho;0;0;0;Pamonha de sal
leoofrc;0;Arroz carreteiro;Doce de leite;0;Espetinho de chocolate;0;0;Bolo de milho;0;0;0;Milho cozido
|emosju|iana_;0;0;Amendoim doce;Cachorro quente;Espetinho de chocolate;Bolo de fubé;Chocolate quente;Bolo de milho;Caldo de feijéo;Canjica de coco;Quentéo de vinho;Milho cozido
xiicara;Pé de moga;Arroz carreteiro;0;Cachorro quente;Espetinho de chocolate;0;Chocolate quente;0;0;0;0;Milho cozido
|iine_avi|a;Cocada branca;Arroz carreteiro;0;Cachorro quente;0;Pamonha doce;Chocolate quente;0;Caldo verde;Curau de milho;Quentéo de vinho;Milho cozido
nataliaob;Pé de moleque;Galinhada;0;Pastel (de carne ou de queijo);0;0;Chocolate quente;0;Caldo verde;0;Choconhaque;Milho cozido
eliuzaeduarda;Cocada branca;Arroz carreteiro;0;Cachorro quente;0;Bolo de fubé;Chocolate quente;0;Caldo verde;0;0;Milho cozido
marinapl28;Cocada morena;Espetinho;0;Cachorro quente;Magé do amor;0;Crentéo;Bolo de milho;Caldo de feijéo;Canjica de amendoim;0;Milho cozido
gaabrielaleal;0;Espetinho;Doce de leite;Cachorro quente;Espetinho de chocolate;Bolo de coco;Chocolate quente;Bolo de pé de moleque;Caldo verde;Arroz doce;Quentéo de vinho;Milho cozido
camillecba;Cocada branca;Espetinho;Pagoca;Pastel (de carne ou de queijo);Magé do amor;Bolo de coco;Chocolate quente;Bolo de milho;0;Canjica de coco;0;Milho cozido
murilo_simio;Pé de moga;Arroz carreteiro;Doce de leite;Cachorro quente;0;Pamonha doce;0;Bolo de milho;Caldo vaca atolada;0;Choconhaque;Milho cozido
matheus_santanaara;Pé de moga;Galinhada;Amendoim doce;Cachorro quente;Pipoca caramelizada;Pamonha doce;Crentéo;Bolo de tapioca;Caldo de feijéo;0;Choconhaque;Milho cozido
tulioapo;Cocada morena;Espetinho;0;Cachorro quente;Espetinho de chocolate;Bolo de mandioca;Chocolate quente;Quebra-queixo;Caldo verde;0;0;Milho cozido
luanderms;Pé de moga;Arroz carreteiro;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;Pamonha doce;Chocolate quente;Bolo de tapioca;Caldo verde;Arroz doce;Choconhaque;Milho cozido
petit_ervi|ha;0;Arroz carreteiro;Doce de leite;Salsichéo;Espetinho de chocolate;0;Chocolate quente;Bolo de milho;Caldo de feijéo;0;Choconhaque;Milho cozido
felipehiroshi92;Pé de moleque;Arroz carreteiro;Doce de leite;Cachorro quente;Magé do amor;Bolo de coco;Caldo de cana;Bolo de pé de moleque;Caldo verde;0;Choconhaque;Milho cozido
thabatareginaa;0;Arroz carreteiro;Amendoim doce;0;Pipoca caramelizada;0;Caldo de cana;Bolo de pé de moleque;Caldo vaca atolada;0;Choconhaque;Milho cozido
alexandeerx;0;0;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;0;0;0;0;Curau de milho;Choconhaque;Milho cozido
heyjemjem;Cocada morena;Galinhada;Amendoim doce;Pastel (de carne ou de queijo);Espetinho de chocolate;Bolo de coco;Chocolate quente;Bolo de milho;Caldo verde;Arroz doce;Quentéo de vinho;Milho cozido
lukasbezerra;Pé de moleque;Galinhada;0;Cachorro quente;0;Pamonha doce;Caldo de cana;0;Caldo vaca atolada;Canjica de coco;Choconhaque;Milho cozido
tallytasorgatto;Cocada morena;Espetinho;Doce de leite;Cachorro quente;Pipoca caramelizada;Pamonha doce;0;Bolo de tapioca;Caldo de feijéo;Curau de milho;Choconhaque;Milho cozido
juliafeliceb;Pé de moga;0;Pagoca;Cachorro quente;Algodéo doce;0;0;Bolo de milho;Caldo vaca atolada;Arroz doce;0;Milho cozido
debrisdebra;0;Espetinho;0;Cachorro quente;Pipoca caramelizada;0;0;0;Caldo verde;0;0;Milho cozido
blood_pressures;Pé de moleque;Espetinho;Pagoca;Pastel (de carne ou de queijo);Pipoca caramelizada;0;Chocolate quente;Bolo de milho;Caldo de feijéo;Canjica de amendoim;0;Milho cozido
sletlima;Cocada morena;Arroz carreteiro;0;Salsichéo;Espetinho de chocolate;Bolo de mandioca;Chocolate quente;Bolo de tapioca;Caldo verde;Arroz doce;Choconhaque;Milho cozido
geovannacecchin;0;Espetinho;Amendoim doce;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;0;Quebra-queixo;Caldo vaca atolada;Canjica de coco;0;Milho cozido
beatrizuchoa;0;Vatapé de frango;Doce de leite;Pastel (de carne ou de queijo);0;0;0;Bolo de milho;Caldo verde;0;0;Milho cozido
reis.b;0;Espetinho;Doce de leite;Salsichéo;Magé do amor;0;Caldo de cana;0;Caldo de feijéo;0;0;Milho cozido
hairlelemos1;0;Espetinho;0;Cachorro quente;0;0;0;0;Caldo vaca atolada;0;0;Milho cozido
pablomarcanth;0;Espetinho;Pagoca;Salsichéo;0;0;0;Bolo de tapioca;0;0;0;Milho cozido
caroli.b;Pé de moga;Espetinho;0;Cachorro quente;0;Pamonha doce;Chocolate quente;Bolo de milho;0;0;Choconhaque;Pamonha de sal
valeskab;Pé de moleque;Arroz carreteiro;Rapadura;Pastel (de carne ou de queijo);0;Bolo de fubé;Chocolate quente;0;0;Canjica de coco;Quentéo de vinho;Pamonha de sal
thatscaiovitor;0;Arroz carreteiro;Pagoca;Pastel (de carne ou de queijo);Espetinho de chocolate;0;Caldo de cana;Quebra-queixo;Caldo verde;0;Choconhaque;Pamonha de sal
babimi|e_;Pé de moleque;0;Pagoca;Pastel (de carne ou de queijo);Magé do amor;Pamonha doce;Caldo de cana;Bolo de milho;Caldo de feijéo;Canjica de amendoim;Quentéo de vinho;Pamonha de sal
isadelavechia;0;Espetinho;Doce de leite;Pastel (de carne ou de queijo);Pipoca caramelizada;Pamonha doce;Chocolate quente;0;Caldo verde;0;0;Pamonha de sal
souzabsr;Cocada branca;0;Doce de leite;Cachorro quente;Magé do amor;Pamonha doce;Chocolate quente;Bolo de milho;Caldo vaca atolada;0;Quentéo de cachaga;Pamonha de sal
naiamy;Pé de moga;Arroz carreteiro;Pagoca;Cachorro quente;Espetinho de chocolate;Bolo de coco;0;Quebra-queixo;Caldo de feijéo;Canjica de amendoim;Choconhaque;Pamonha de sal
gabi_herrera10;Cocada branca;Arroz carreteiro;Pagoca;Cachorro quente;Magé do amor;Pamonha doce;Crentéo;0;0;Canjica de coco;Quentéo de vinho;Pamonha de sal
alan.ﬁs10;Pé de moleque;Galinhada;Amendoim doce;Pastel (de carne ou de queijo);Pipoca caramelizada;Bolo de fubé;Caldo de cana;Quebra-queixo;Caldo vaca atolada;Canjica de coco;0;Pamonha de sal
